Year,Average Population
1900,5500000
1901,5600000
1902,5760000
1903,5930000
1904,6100000
1905,6280000
1906,6460000
1907,6650000
1908,6850000
1909,7040000
1910,7250000
1911,7460000
1912,7610000
1913,7760000
1914,7910000
1915,8060000
1916,8220000
1917,8380000
1918,8450000
1919,8710000
1920,8880000
1921,9060000
1922,9230000
1923,9400000
1924,9560000
1925,9730000
1926,9890000
1927,10040000
1928,10190000
1929,10350000
1930,10498000
1931,10630000
1932,10794000
1933,10919000
1934,11029000
1935,11135000
1936,11242000
1937,11339000
1938,11448000
1939,11565000
1940,11682000
1941,11810000
1942,11962000
1943,12125000
1944,12291000
1945,12441000
1946,12316000
1947,12576000
1948,12852000
1949,13475000
1950,13737000
1951,14050000
1952,14496000
1953,14886000
1954,15330000
1955,15736000
1956,16123000
1957,16677000
1958,17120000
1959,17522000
1960,17909000
1961,18271000
1962,18614000
1963,18964000
1964,19325000
1965,19678000
1966,20048000
1967,20412000
1968,20729000
1969,21028000
1970,21324000
1971,21962032
1972,22218463
1973,22491777
1974,22807969
1975,23143275
1976,23449808
1977,23725843
1978,23963203
1979,24201544
1980,24515667
1981,24819915
1982,25116942
1983,25366451
1984,25607053
1985,25842116
1986,26100278
1987,26446601
1988,26791747
1989,27276781
1990,27691138
1991,28037420
1992,28371264
1993,28684764
1994,29000663
1995,29302311
1996,29610218
1997,29905948
1998,30155173
1999,30401286
2000,30685730
2001,31020902
2002,31360079
2003,31644028
2004,31940655
2005,32243753
2006,32571174
2007,32888886
2008,33247298
2009,33630069
2010,34005905
2011,34713395
2012,35713395
2013,35080992
2014,35434066
2015,35704498
2016,36110803
2017,36545075
2018,37072620
2019,37618495
2020,38028638
2021,38239864
2022,38939056
2023,40097761
